1. Selon vous, quels sont les principaux enjeux du logement dans la MEL ? (3 réponses maximum);2. Selon vous, quels sont les principaux freins pour trouver un logement à louer dans la MEL ? (2 réponses maximum);3. Selon vous, quels sont les principaux freins pour acheter un logement dans la MEL ? (2 réponses maximum);4. Selon vous, quels sont les principaux freins pour réaliser des travaux de rénovation ? (2 réponses maximum);5. Selon vous, pourquoi souhaite-t-on habiter dans la MEL ?;6. Identifiez-vous la MEL comme un acteur du logement ?;7. Connaissez-vous la Maison de l'Habitat durable ?;8. Avez-vous déjà visité la Maison de l'Habitat durable ?;9. Connaissez-vous les aides de l'Agence Nationale de l'Habitat (Anah) et de la MEL pour la rénovation des logements privés ?;10. Si oui, par quel biais avez-vous été informé de l'existence de ces aides ?;11. Les avez-vous mobilisées dans le cadre d'un projet de rénovation ?;12. Auprès de qui vous adresseriez-vous pour faire une demande de logement social dans la métropole ?;13. Avez-vous déjà fait une demande de logement social sur le territoire métropolitain ?;14. Qu'attendriez-vous de la MEL pour vous aider à trouver un logement ? (2 réponses maximum);15. Qu'attendriez-vous de la MEL pour faciliter l'accession à la propriété ?;16. Qu'attendriez-vous de la MEL pour vous aider dans vos travaux de rénovation ? (3 réponses maximum);17. Quel est votre âge ?;18. Quelle est votre situation professionnelle ?;19. Dans quelle commune, habitez-vous ?;20. Dans quel type de logement habitez-vous actuellement ?;21. Quelle est votre situation au regard de ce logement ?;22. Qui vit avec vous dans votre logement ?
rénover l'habitat dégradé,mieux organiser l'accueil des étudiants dans la MEL;des logements de trop faible qualité;peu de biens adaptés à mes besoins (nombre de pièces,accessibilité du logement au handicap,etc.);trouver de l'aide,un conseil adapté;attractif;Oui;Oui;Non;Non;ne se prononce pas;Non;la MEL;Non;un recensement des logements sociaux accessibles pour les personnes âgées ou en situation de handicap;un accompagnement pour étudier les financements possibles;des ateliers de formation pour acquérir des savoirs faire de base pour les travaux,un préfinancement des travaux;18-24 ans;étudiant;roubaix;individuel;locataire d'un logement privé;je vis en couple avec enfant(s)
ne se prononce pas;peu de biens adaptés à mes besoins (nombre de pièces,accessibilité du logement au handicap,etc.);des prix trop élevés dans les quartiers souhaités;la crainte que les travaux se passent mal;Belle ville;Oui;Non;;Non;;;autre;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.);un accompagnement pour étudier les financements possibles;un service de mise en relation avec les entreprises qualifiées,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.),un service d'aide pour trouver des prêts travaux adaptés (courtage bancaire);18-24 ans;étudiant;Emmerin;individuel;propriétaire occupant;autre
améliorer la mixité sociale,résorber les bidonvilles;des logements de trop faible qualité;des prix trop élevés dans les quartiers souhaités;trouver de l'aide,un conseil adapté,la crainte que les travaux se passent mal;;Oui;Non;Non;Non;internet, prospectus, bouche à oreille;Oui;votre mairie;;un meilleur conseil pour obtenir un logement social;une meilleure information sur les projets d'accession à prix abordable;des ateliers de formation pour acquérir des savoirs faire de base pour les travaux,un forum d'échanges entre habitants;18-24 ans;étudiant;;collectif;propriétaire occupant;je vis en couple avec enfant(s)
améliorer la mixité sociale,mieux réguler les prix et loyers du marché,rénover l'habitat dégradé;des montants de loyers trop élevés dans les quartiers souhaités,des logements de trop faible qualité;des prix trop élevés dans les quartiers souhaités,des difficultés pour obtenir un prêt;trouver une entreprise qualifiée,trouver de l'aide,un conseil adapté;Pour être au plus proche des lieux de vie (shopping, musée, cinéma, bar).;Non;Oui;Oui;Non;;Non;votre mairie;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un accompagnement pour les groupes d'habitants ayant un projet logement en commun (habitat participatif);une meilleure information sur les projets d'accession à prix abordable;un service de mise en relation avec les entreprises qualifiées,des ateliers de formation pour acquérir des savoirs faire de base pour les travaux;25-35 ans;emploi salarié;Lille;collectif;locataire d'un logement privé;je vis en colocation
améliorer la mixité sociale,mieux réguler les prix et loyers du marché,rénover l'habitat dégradé;des montants de loyers trop élevés dans les quartiers souhaités;des prix trop élevés dans les quartiers souhaités;ne se prononce pas;le dynamisme du territoire;Non;Oui;Non;Oui;autre;Non;un bailleur social;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un meilleur conseil pour obtenir un logement social;un accompagnement pour étudier les financements possibles;un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.),un préfinancement des travaux;25-35 ans;emploi salarié;lille;individuel;propriétaire occupant;je vis en couple avec enfant(s)
construire plus de logements,adapter les logements au vieillissement,résorber les bidonvilles;des logements de trop faible qualité,peu de biens adaptés à mes besoins (nombre de pièces,accessibilité du logement au handicap,etc.);des prix trop élevés dans les quartiers souhaités,peu de biens adaptés à mes besoins (nombre de pièces,accessibilité du logement au handicap,etc.);trouver une entreprise qualifiée,la crainte que les travaux se passent mal;...;Non;Oui;Non;Oui;prospectus;Non;votre mairie;Oui;un meilleur conseil pour obtenir un logement social;un accompagnement pour étudier les financements possibles;un recueil numérique de bonnes pratiques,témoignages d'habitants;35-49 ans;emploi non salarié;...;collectif;locataire d'un logement social;autre
construire plus de logements,mieux réguler les prix et loyers du marché,rénover l'habitat dégradé;des montants de loyers trop élevés dans les quartiers souhaités,des garanties financières trop sélectives;des prix trop élevés dans les quartiers souhaités,des biens vétustes nécessitant trop de travaux;des difficultés de financement,un dispositif d'aides trop complexe;Il s'agit d'un grand centre urbain avec de nombreux emplois;Oui;;Oui;Non;;;un bailleur social,votre mairie;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un accompagnement pour les groupes d'habitants ayant un projet logement en commun (habitat participatif);un accompagnement pour étudier les financements possibles;des ateliers de formation pour acquérir des savoirs faire de base pour les travaux,un service d'aide pour trouver des prêts travaux adaptés (courtage bancaire),un préfinancement des travaux;35-49 ans;emploi salarié;villeneuve d'ascq;individuel;propriétaire occupant;je vis en couple avec enfant(s)
mieux réguler les prix et loyers du marché,rénover l'habitat dégradé,faciliter l'accès des jeunes au logement;des montants de loyers trop élevés dans les quartiers souhaités,des logements de trop faible qualité;des prix trop élevés dans les quartiers souhaités,des difficultés pour obtenir un prêt;des difficultés de financement;;Non;Non;Non;Non;;Non;un bailleur social,votre mairie;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un accompagnement pour les groupes d'habitants ayant un projet logement en commun (habitat participatif);un accompagnement pour étudier les financements possibles;des ateliers de formation pour acquérir des savoirs faire de base pour les travaux,des tutoriels vidéos pour les travaux,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.);35-49 ans;emploi salarié;Gruson;collectif;locataire d'un logement privé;je vis en colocation
mieux réguler les prix et loyers du marché,rénover l'habitat dégradé,améliorer l'habitat existant sur le plan énergétique,adapter les logements au vieillissement;des montants de loyers trop élevés dans les quartiers souhaités,des logements de trop faible qualité;ne se prononce pas;ne se prononce pas;;Non;Oui;Oui;Oui;autre;Non;un bailleur social;Non;un accompagnement pour les groupes d'habitants ayant un projet logement en commun (habitat participatif);un accompagnement pour étudier les financements possibles;des ateliers de formation pour acquérir des savoirs faire de base pour les travaux,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.);18-24 ans;étudiant;Lille;collectif;locataire d'un logement privé;je vis en colocation
rénover l'habitat dégradé,améliorer l'habitat existant sur le plan énergétique,adapter les logements au vieillissement;ne se prononce pas;des prix trop élevés dans les quartiers souhaités,des difficultés pour obtenir un prêt;des difficultés de financement,un dispositif d'aides trop complexe;;Non;Oui;Non;Non;;Non;autre;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un meilleur conseil pour obtenir un logement social;un accompagnement pour étudier les financements possibles;des ateliers de formation pour acquérir des savoirs faire de base pour les travaux,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.),un préfinancement des travaux;35-49 ans;emploi salarié;Saint André lez lille;individuel;propriétaire occupant;je vis seul sans enfant
construire plus de logements,mieux réguler les prix et loyers du marché,faciliter l'accès des jeunes au logement;des montants de loyers trop élevés dans les quartiers souhaités,des garanties financières trop sélectives;des biens vétustes nécessitant trop de travaux,des difficultés pour obtenir un prêt;trouver une entreprise qualifiée,un dispositif d'aides trop complexe;Grâce aux commodités et transport moins chers que hors MEL;Oui;Non;Non;Non;;Non;votre mairie;Oui;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un meilleur conseil pour obtenir un logement social;une meilleure information sur les projets d'accession à prix abordable;;25-35 ans;sans emploi;Haubourdin;individuel;locataire d'un logement privé;je vis seul sans enfant
rénover l'habitat dégradé,améliorer l'habitat existant sur le plan énergétique,adapter les logements au vieillissement;des montants de loyers trop élevés dans les quartiers souhaités,des logements de trop faible qualité;des prix trop élevés dans les quartiers souhaités,peu de biens adaptés à mes besoins (nombre de pièces,accessibilité du logement au handicap,etc.);trouver une entreprise qualifiée,la crainte que les travaux se passent mal;Car le travail est sur la mel;Non;Non;Non;Non;;Non;votre mairie;Non;;;des ateliers de formation pour acquérir des savoirs faire de base pour les travaux,des tutoriels vidéos pour les travaux;25-35 ans;emploi salarié;Seclin;individuel;propriétaire occupant;je vis en couple sans enfant
rénover l'habitat dégradé,améliorer l'habitat existant sur le plan énergétique,adapter les logements au vieillissement;des montants de loyers trop élevés dans les quartiers souhaités,des garanties financières trop sélectives;des prix trop élevés dans les quartiers souhaités;trouver de l'aide,un conseil adapté,un dispositif d'aides trop complexe;;Non;Non;Non;Non;;Non;un bailleur social;Non;;un accompagnement pour étudier les financements possibles;un service de mise en relation avec les entreprises qualifiées;25-35 ans;emploi salarié;LILLE;collectif;propriétaire occupant;je vis en couple sans enfant
mieux réguler les prix et loyers du marché,rénover l'habitat dégradé,faciliter l'accès des jeunes au logement;des montants de loyers trop élevés dans les quartiers souhaités,des garanties financières trop sélectives;des prix trop élevés dans les quartiers souhaités,des biens vétustes nécessitant trop de travaux;trouver une entreprise qualifiée,la crainte que les travaux se passent mal;Pratique Transport en commun;Oui;Oui;Non;Oui;prospectus;Non;votre mairie;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un recensement des logements sociaux accessibles pour les personnes âgées ou en situation de handicap;une meilleure information sur les projets d'accession à prix abordable;un service de mise en relation avec les entreprises qualifiées,des tutoriels vidéos pour les travaux,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.);35-49 ans;sans emploi;Lille;collectif;locataire d'un logement privé;je vis en couple sans enfant
construire plus de logements,améliorer l'habitat existant sur le plan énergétique,adapter les logements au vieillissement;des montants de loyers trop élevés dans les quartiers souhaités,des garanties financières trop sélectives;des prix trop élevés dans les quartiers souhaités,des difficultés pour obtenir un prêt;des difficultés de financement,la crainte que les travaux se passent mal;Ville dynamique;Oui;Non;Non;Non;ne se prononce pas;Non;un bailleur social;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un recensement des logements sociaux accessibles pour les personnes âgées ou en situation de handicap;une meilleure information sur les projets d'accession à prix abordable;un service de mise en relation avec les entreprises qualifiées,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.),un préfinancement des travaux;plus de 65 ans;retraité;Loos;individuel;propriétaire occupant;je vis en couple sans enfant
rénover l'habitat dégradé,mieux organiser l'accueil des étudiants dans la MEL;peu de biens adaptés à mes besoins (nombre de pièces,accessibilité du logement au handicap,etc.);des biens vétustes nécessitant trop de travaux,peu de biens adaptés à mes besoins (nombre de pièces,accessibilité du logement au handicap,etc.);trouver une entreprise qualifiée,la crainte que les travaux se passent mal;La ville est belle attractive;Oui;Oui;Oui;Oui;bouche à oreille;Non;un bailleur social;Non;un meilleur conseil pour obtenir un logement social,un recensement des logements sociaux accessibles pour les personnes âgées ou en situation de handicap;une meilleure information sur les projets d'accession à prix abordable;un service de mise en relation avec les entreprises qualifiées,un service d'aide pour trouver des prêts travaux adaptés (courtage bancaire),un préfinancement des travaux;50-64 ans;emploi non salarié;Loos;individuel;propriétaire occupant;je vis en couple sans enfant
construire plus de logements,faciliter l'accès des jeunes au logement,mieux organiser l'accueil des étudiants dans la MEL;des montants de loyers trop élevés dans les quartiers souhaités,peu de biens adaptés à mes besoins (nombre de pièces,accessibilité du logement au handicap,etc.);des prix trop élevés dans les quartiers souhaités,des biens vétustes nécessitant trop de travaux;des difficultés de financement,la crainte que les travaux se passent mal;Mobilité des transports;Oui;Non;Non;Non;;Non;votre mairie;Oui;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un meilleur conseil pour obtenir un logement social;une meilleure information sur les projets d'accession à prix abordable;un service de mise en relation avec les entreprises qualifiées,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.),un préfinancement des travaux;18-24 ans;emploi salarié;Lens;individuel;locataire d'un logement privé;je vis seul sans enfant
mieux réguler les prix et loyers du marché,adapter les logements au vieillissement,améliorer l'attribution des logements sociaux;des montants de loyers trop élevés dans les quartiers souhaités,des garanties financières trop sélectives;des prix trop élevés dans les quartiers souhaités,des biens vétustes nécessitant trop de travaux;des difficultés de financement;Active;Oui;Non;Non;Non;ne se prononce pas;Non;un bailleur social,votre mairie;Oui;un meilleur conseil pour obtenir un logement social;un accompagnement pour étudier les financements possibles;un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.),un service d'aide pour trouver des prêts travaux adaptés (courtage bancaire);25-35 ans;emploi salarié;Lille;collectif;locataire d'un logement social;je vis seul sans enfant
construire plus de logements,rénover l'habitat dégradé,faciliter l'accès des jeunes au logement;des montants de loyers trop élevés dans les quartiers souhaités,des garanties financières trop sélectives;des prix trop élevés dans les quartiers souhaités,peu de biens adaptés à mes besoins (nombre de pièces,accessibilité du logement au handicap,etc.);la crainte que les travaux se passent mal;Attractivité;Non;Non;Non;Non;;Non;un bailleur social,votre mairie;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.);un accompagnement pour étudier les financements possibles;un service d'aide pour trouver des prêts travaux adaptés (courtage bancaire);35-49 ans;emploi salarié;Templemars;individuel;propriétaire occupant;je vis en couple avec enfant(s)
construire plus de logements,faciliter l'accès des jeunes au logement;des montants de loyers trop élevés dans les quartiers souhaités;des prix trop élevés dans les quartiers souhaités,des difficultés pour obtenir un prêt;des difficultés de financement;proche des transports;Oui;Non;Non;Oui;internet;Non;votre mairie;Oui;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.);une meilleure information sur les projets d'accession à prix abordable;un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.);18-24 ans;emploi salarié;Lille;collectif;locataire d'un logement social;je vis seul avec enfant(s)
mieux réguler les prix et loyers du marché,mieux organiser l'accueil des étudiants dans la MEL;peu de biens adaptés à mes besoins (nombre de pièces,accessibilité du logement au handicap,etc.);des prix trop élevés dans les quartiers souhaités;des difficultés de financement;Trop cher ailleurs;Non;Non;Non;Non;ne se prononce pas;Non;votre mairie;Non;un meilleur conseil pour obtenir un logement social;un accompagnement pour étudier les financements possibles;un service d'aide pour trouver des prêts travaux adaptés (courtage bancaire);50-64 ans;emploi salarié;Lille;individuel;locataire d'un logement privé;je vis seul sans enfant
construire plus de logements,améliorer la mixité sociale,rénover l'habitat dégradé;des logements de trop faible qualité,peu de biens adaptés à mes besoins (nombre de pièces,accessibilité du logement au handicap,etc.);des prix trop élevés dans les quartiers souhaités,des biens vétustes nécessitant trop de travaux;trouver de l'aide,un conseil adapté,la crainte que les travaux se passent mal;;Non;Non;Non;Non;;Non;votre mairie;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un recensement des logements sociaux accessibles pour les personnes âgées ou en situation de handicap;un accompagnement pour étudier les financements possibles;un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.);18-24 ans;étudiant;Lille;individuel;locataire d'un logement privé;je vis seul sans enfant
améliorer l'attribution des logements sociaux;des montants de loyers trop élevés dans les quartiers souhaités;des difficultés pour obtenir un prêt;des difficultés de financement;;Non;Non;Non;Oui;bouche à oreille;Non;un bailleur social;Oui;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.);une meilleure information sur les projets d'accession à prix abordable;un service d'aide pour trouver des prêts travaux adaptés (courtage bancaire);25-35 ans;emploi salarié;Lille;individuel;locataire d'un logement privé;je vis seul avec enfant(s)
améliorer la mixité sociale,améliorer l'attribution des logements sociaux,résorber les bidonvilles;des logements de trop faible qualité,peu de biens adaptés à mes besoins (nombre de pièces,accessibilité du logement au handicap,etc.);des prix trop élevés dans les quartiers souhaités,des difficultés pour obtenir un prêt;des difficultés de financement,un dispositif d'aides trop complexe;"transports en commun adaptes et polyvalents.
commerces varies et proches.";Non;Oui;Non;Oui;bouche à oreille, autre;Non;un bailleur social;Oui;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un meilleur conseil pour obtenir un logement social;un accompagnement pour étudier les financements possibles;un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.),un service d'aide pour trouver des prêts travaux adaptés (courtage bancaire);50-64 ans;emploi salarié;armentieres;individuel;locataire d'un logement social;autre
améliorer l'habitat existant sur le plan énergétique,adapter les logements au vieillissement,résorber les bidonvilles;des logements de trop faible qualité,peu de biens adaptés à mes besoins (nombre de pièces,accessibilité du logement au handicap,etc.);des prix trop élevés dans les quartiers souhaités,des biens vétustes nécessitant trop de travaux;trouver une entreprise qualifiée,la crainte que les travaux se passent mal;;Non;Oui;Oui;Oui;internet, journaux locaux (ville, MEL), conseillers travaillant pour la MEL chargés d'accompagner les habitants dans leur projet de rénovation;Oui;un bailleur social,votre mairie;Oui;un meilleur conseil pour obtenir un logement social,un recensement des logements sociaux accessibles pour les personnes âgées ou en situation de handicap;autre;un service de mise en relation avec les entreprises qualifiées,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.),autre;50-64 ans;retraité;bondues;collectif;locataire d'un logement social;je vis seul avec enfant(s)
mieux réguler les prix et loyers du marché,rénover l'habitat dégradé,améliorer l'habitat existant sur le plan énergétique;des montants de loyers trop élevés dans les quartiers souhaités,des logements de trop faible qualité,des garanties financières trop sélectives;des prix trop élevés dans les quartiers souhaités,des biens vétustes nécessitant trop de travaux,peu de biens adaptés à mes besoins (nombre de pièces,accessibilité du logement au handicap,etc.);des difficultés de financement,trouver de l'aide,un conseil adapté,la crainte que les travaux se passent mal;Pour les infrastructures, les transports;Oui;Oui;Non;Non;;Non;un bailleur social;Oui;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.);un accompagnement pour étudier les financements possibles;un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.),un service d'aide pour trouver des prêts travaux adaptés (courtage bancaire),un préfinancement des travaux;35-49 ans;emploi salarié;Lomme;individuel;locataire d'un logement social;je vis en couple sans enfant
construire plus de logements,améliorer la mixité sociale,résorber les bidonvilles;des montants de loyers trop élevés dans les quartiers souhaités,des logements de trop faible qualité;des prix trop élevés dans les quartiers souhaités,des biens vétustes nécessitant trop de travaux;des difficultés de financement,trouver une entreprise qualifiée;proche du lieu de travail;Oui;Oui;Oui;Non;;;votre mairie;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un meilleur conseil pour obtenir un logement social;un accompagnement pour étudier les financements possibles;un service de mise en relation avec les entreprises qualifiées,des ateliers de formation pour acquérir des savoirs faire de base pour les travaux,un préfinancement des travaux;35-49 ans;emploi salarié;lille;collectif;propriétaire occupant;je vis seul avec enfant(s)
rénover l'habitat dégradé,améliorer l'habitat existant sur le plan énergétique,améliorer l'attribution des logements sociaux;des garanties financières trop sélectives;des prix trop élevés dans les quartiers souhaités,autre;trouver de l'aide,un conseil adapté,un dispositif d'aides trop complexe;"Parce qu'on y travaille ou on  y étudie.
Pour être à proximité de l'attractivité du centre de Lille
Parce que c'est une grande métropole et on peut y vivre en habitat individuel avec un jardin.";Non;Non;Non;Non;;Non;votre mairie;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un accompagnement pour les groupes d'habitants ayant un projet logement en commun (habitat participatif);une meilleure information sur les projets d'accession à prix abordable;des ateliers de formation pour acquérir des savoirs faire de base pour les travaux,un forum d'échanges entre habitants,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.);50-64 ans;emploi non salarié;Tourcoing;individuel;propriétaire occupant;je vis en couple sans enfant
améliorer la mixité sociale,faciliter l'accès des jeunes au logement,améliorer l'attribution des logements sociaux;des montants de loyers trop élevés dans les quartiers souhaités,des garanties financières trop sélectives;des prix trop élevés dans les quartiers souhaités,des difficultés pour obtenir un prêt;des difficultés de financement,la crainte que les travaux se passent mal;agréable , pas mal d'activités;Non;Oui;Non;Non;ne se prononce pas;Non;un bailleur social;;un meilleur conseil pour obtenir un logement social,un accompagnement pour les groupes d'habitants ayant un projet logement en commun (habitat participatif);un accompagnement pour étudier les financements possibles;un service de mise en relation avec les entreprises qualifiées,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.),un service d'aide pour trouver des prêts travaux adaptés (courtage bancaire);25-35 ans;emploi salarié;tourcoing;individuel;propriétaire occupant;je vis en couple avec enfant(s)
construire plus de logements,rénover l'habitat dégradé,faciliter l'accès des jeunes au logement;des logements de trop faible qualité,des garanties financières trop sélectives;des biens vétustes nécessitant trop de travaux,peu de biens adaptés à mes besoins (nombre de pièces,accessibilité du logement au handicap,etc.);des difficultés de financement,la crainte que les travaux se passent mal;emploi;Oui;Non;Non;Non;;Non;un bailleur social;Oui;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un accompagnement pour les groupes d'habitants ayant un projet logement en commun (habitat participatif);une meilleure information sur les projets d'accession à prix abordable;un service de mise en relation avec les entreprises qualifiées,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.),un préfinancement des travaux;25-35 ans;étudiant;wattrelos;individuel;locataire d'un logement privé;je vis seul avec enfant(s)
mieux réguler les prix et loyers du marché,mieux organiser l'accueil des étudiants dans la MEL,résorber les bidonvilles;des montants de loyers trop élevés dans les quartiers souhaités,des garanties financières trop sélectives;des prix trop élevés dans les quartiers souhaités,des biens vétustes nécessitant trop de travaux;des difficultés de financement,trouver une entreprise qualifiée;Grande ville et la vie est acceptable comparé à celle de Paris;Non;Non;Non;Non;;Non;un bailleur social;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un meilleur conseil pour obtenir un logement social;une meilleure information sur les projets d'accession à prix abordable;un service de mise en relation avec les entreprises qualifiées,un forum d'échanges entre habitants,un recueil numérique de bonnes pratiques,témoignages d'habitants;25-35 ans;étudiant;Lille;collectif;locataire d'un logement privé;je vis seul sans enfant
construire plus de logements,rénover l'habitat dégradé,faciliter l'accès des jeunes au logement;des montants de loyers trop élevés dans les quartiers souhaités,peu de biens adaptés à mes besoins (nombre de pièces,accessibilité du logement au handicap,etc.);des prix trop élevés dans les quartiers souhaités,des difficultés pour obtenir un prêt;des difficultés de financement,trouver de l'aide,un conseil adapté;Les magasins et commerces proximité;Non;Non;Non;Non;ne se prononce pas;Non;un bailleur social;Non;un meilleur conseil pour obtenir un logement social;une meilleure information sur les projets d'accession à prix abordable;un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.);18-24 ans;étudiant;wattrelos;individuel;locataire d'un logement social;autre
construire plus de logements,faciliter l'accès des jeunes au logement,résorber les bidonvilles;des montants de loyers trop élevés dans les quartiers souhaités;des difficultés pour obtenir un prêt;la crainte que les travaux se passent mal;transporte;Oui;Oui;Oui;Oui;internet, bouche à oreille;Non;"le groupe ""Action logement""";Oui;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.);un accompagnement pour étudier les financements possibles;un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.),un service d'aide pour trouver des prêts travaux adaptés (courtage bancaire),un préfinancement des travaux;50-64 ans;emploi salarié;lille;collectif;locataire d'un logement social;je vis seul avec enfant(s)
mieux réguler les prix et loyers du marché,rénover l'habitat dégradé,résorber les bidonvilles;des montants de loyers trop élevés dans les quartiers souhaités,des garanties financières trop sélectives;des prix trop élevés dans les quartiers souhaités,des biens vétustes nécessitant trop de travaux;la crainte que les travaux se passent mal;vivant et aréré;Oui;Non;Non;Non;;Non;votre mairie;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un recensement des logements sociaux accessibles pour les personnes âgées ou en situation de handicap;un accompagnement pour étudier les financements possibles;des tutoriels vidéos pour les travaux,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.),un service d'aide pour trouver des prêts travaux adaptés (courtage bancaire);18-24 ans;étudiant;mouvaux;individuel;locataire d'un logement privé;autre
construire plus de logements,améliorer la mixité sociale,rénover l'habitat dégradé;des montants de loyers trop élevés dans les quartiers souhaités;des prix trop élevés dans les quartiers souhaités;des difficultés de financement,trouver une entreprise qualifiée;Emploi, études;Oui;Oui;Non;Non;bouche à oreille;Non;votre mairie;Non;un recensement des logements sociaux accessibles pour les personnes âgées ou en situation de handicap,un accompagnement pour les groupes d'habitants ayant un projet logement en commun (habitat participatif);autre;un service de mise en relation avec les entreprises qualifiées;35-49 ans;emploi salarié;Loos;individuel;propriétaire occupant;je vis seul avec enfant(s)
améliorer la mixité sociale,rénover l'habitat dégradé,faciliter l'accès des jeunes au logement;des montants de loyers trop élevés dans les quartiers souhaités;des prix trop élevés dans les quartiers souhaités;des difficultés de financement;Plus attractif et plus de possibilités d'emploi;Non;;Non;Non;ne se prononce pas;Non;votre mairie;Oui;un meilleur conseil pour obtenir un logement social;un accompagnement pour étudier les financements possibles;un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.);18-24 ans;emploi salarié;lille;individuel;locataire d'un logement social;je vis seul sans enfant
rénover l'habitat dégradé,faciliter l'accès des jeunes au logement,résorber les bidonvilles;des montants de loyers trop élevés dans les quartiers souhaités,des garanties financières trop sélectives;ne se prononce pas;des difficultés de financement,trouver une entreprise qualifiée;Moins cher que le centre et près du centre;Oui;Non;;Non;;;votre mairie;Non;un meilleur conseil pour obtenir un logement social;un accompagnement pour étudier les financements possibles;un service de mise en relation avec les entreprises qualifiées,un recueil numérique de bonnes pratiques,témoignages d'habitants,un service d'aide pour trouver des prêts travaux adaptés (courtage bancaire);18-24 ans;emploi salarié;Emmerin;individuel;locataire d'un logement privé;autre
mieux réguler les prix et loyers du marché,améliorer l'habitat existant sur le plan énergétique,autre;des montants de loyers trop élevés dans les quartiers souhaités,autre;des prix trop élevés dans les quartiers souhaités,autre;des difficultés de financement,un dispositif d'aides trop complexe;Parce que c'est la que se trouve le travail. Pour résoudre le problème du logement dans la MEL concentration des demandes dans certaines ville (Lille en priorité...) il faut revoir les secteurs d'activité qui sont concentrées au mêmes endroits. LE cadre de vie de la MEL n'est pas suffisant pour attirer les gens et y habiter à mon sens trop de bouchons trop de pollution peut d'espaces naturels une concentration de population trop importante;Oui;Oui;Oui;Oui;prospectus, journaux locaux (ville, MEL), bouche à oreille;Oui;un bailleur social,votre mairie;Oui;un accompagnement pour les groupes d'habitants ayant un projet logement en commun (habitat participatif);autre;un préfinancement des travaux;35-49 ans;emploi salarié;RONCHIN;individuel;propriétaire occupant;je vis en couple avec enfant(s)
améliorer la mixité sociale,améliorer l'habitat existant sur le plan énergétique,faciliter l'accès des jeunes au logement;des garanties financières trop sélectives,peu de biens adaptés à mes besoins (nombre de pièces,accessibilité du logement au handicap,etc.);des prix trop élevés dans les quartiers souhaités,peu de biens adaptés à mes besoins (nombre de pièces,accessibilité du logement au handicap,etc.);trouver une entreprise qualifiée,trouver de l'aide,un conseil adapté;c'est une métropole dynamique qui comporte tous les services et équipements voulus mais qui ne soigne pas assez le détail et la chaine des besoins;Oui;Oui;Non;Oui;autre;Non;votre mairie;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un accompagnement pour les groupes d'habitants ayant un projet logement en commun (habitat participatif);autre;un service de mise en relation avec les entreprises qualifiées,un forum d'échanges entre habitants,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.);50-64 ans;emploi salarié;tourcoing;individuel;propriétaire occupant;je vis seul avec enfant(s)
